01 Wesley Gordon, Colorado, 34, 33, 947, 27.9, 80, 192, .417, 6, 15, .400, 80, 116, .690, 100, 160, 260, 7.6, 79, 1, 45, 38, 68, 13, 246, 7.2 
10 Tre'Shaun Fletcher, Colorado, 34, 14, 666, 19.6, 75, 189, .397, 35, 101, .347, 55, 66, .833, 25, 56, 81, 2.4, 68, 1, 39, 44, 6, 13, 240, 7.1 
14 Tory Miller, Colorado, 33, 4, 520, 15.8, 69, 147, .469, 0, 4, .000, 44, 72, .611, 64, 87, 151, 4.6, 53, 0, 6, 35, 12, 10, 182, 5.5 
03 Xavier Talton, Colorado, 34, 10, 696, 20.5, 49, 144, .340, 23, 64, .359, 41, 45, .911, 16, 70, 86, 2.5, 73, 2, 65, 40, 3, 25, 162, 4.8 
00 Thomas Akyazili, Colorado, 33, 1, 528, 16.0, 41, 126, .325, 17, 59, .288, 24, 36, .667, 3, 50, 53, 1.6, 76, 1, 53, 31, 8, 17, 123, 3.7 
13 Kenan Guzonjic, Colorado, 13, 0, 53, 4.1, 7, 19, .368, 2, 4, .500, 4, 7, .571, 6, 8, 14, 1.1, 9, 0, 1, 6, 1, 0, 20, 1.5 
31 Brett Brady, Colorado, 10, 0, 19, 1.9, 3, 6, .500, 2, 4, .500, 1, 2, .500, 1, 5, 6, 0.6, 1, 0, 0, 2, 0, 2, 9, 0.9 
33 Josh Repine, Colorado, 6, 0, 8, 1.3, 1, 3, .333, 1, 3, .333, 0, 0, .000, 0, 1, 1, 0.2, 2, 0, 2, 0, 0, 0, 3, 0.5 
05 Eli Stalzer, Colorado, 9, 0, 18, 2.0, 0, 2, .000, 0, 2, .000, 0, 0, .000, 0, 2, 2, 0.2, 0, 0, 2, 0, 0, 0, 0, 0.0 
12 Mitch Lombard, Colorado, 6, 0, 9, 1.5, 0, 1, .000, 0, 0, .000, 0, 0, .000, 0, 0, 0, 0.0, 0, 0, 1, 0, 0, 0, 0, 0.0 
